time[s]	  500 Hz 	 2000 Hz
0.247	2.62E+09	2.23E+08
0.248	1.52E+09	2.88E+08
0.249	7.03E+07	2.77E+08
0.25	7.97E+08	8.23E+08
0.251	1.60E+09	2.92E+08
0.252	6.18E+08	1.12E+09
0.253	5.24E+08	1.24E+08
0.254	1.93E+09	5.36E+08
0.255	1.96E+09	1.25E+09
0.256	6.43E+08	1.26E+08
0.257	5.94E+07	4.43E+08
0.258	1.84E+07	2.23E+08
0.259	2.99E+08	6.07E+08
0.26	4.06E+08	1.83E+08
0.261	2.16E+08	1.60E+08
0.262	4.69E+08	6.29E+08
0.263	4.08E+08	2.05E+08
0.264	1.52E+08	8.32E+08
0.265	5.40E+08	3.40E+08
0.266	1.21E+09	2.00E+08
0.267	9.55E+08	3.19E+08
0.268	2.35E+08	1.63E+08
0.269	1.08E+09	2.04E+08
0.27	2.15E+09	3.47E+08
0.271	1.80E+09	1.57E+08
0.272	1.42E+09	2.17E+08
0.273	1.07E+09	1.43E+08
0.274	1.80E+08	2.57E+07
0.275	6.04E+08	2.26E+08
0.276	1.38E+09	3.02E+08
0.277	6.95E+08	2.08E+08
0.278	2.32E+08	1.54E+08
0.279	6.57E+08	1.11E+08
0.28	8.30E+08	1.16E+08
0.281	4.89E+08	1.99E+08
0.282	1.95E+08	8.45E+07
0.283	2.13E+08	1.47E+08
0.284	5.72E+08	2.55E+07
0.285	5.67E+08	1.01E+08
0.286	3.14E+08	1.24E+08
0.287	2.51E+08	7.67E+08
0.288	4.69E+08	3.42E+08
0.289	4.88E+08	5.84E+08
0.29	1.75E+08	1.97E+08
0.291	8.70E+08	2.92E+08
0.292	9.24E+08	2.50E+08
0.293	1.83E+08	7.25E+06
0.294	7.58E+08	8.95E+07
0.295	1.14E+09	5.69E+07
0.296	9.03E+08	5.42E+07
0.297	1.04E+09	1.50E+08
0.298	7.54E+08	5.15E+07
0.299	1.08E+08	2.62E+08
0.3	2.79E+08	6.00E+07
0.301	4.32E+08	5.83E+07
0.302	1.67E+08	2.10E+08
0.303	9.98E+07	1.48E+08
0.304	5.86E+07	5.84E+07
0.305	7.73E+07	1.97E+08
0.306	1.36E+08	5.09E+08
0.307	1.35E+08	3.86E+08
0.308	2.33E+08	1.94E+08
0.309	9.79E+08	2.27E+08
0.31	1.39E+09	4.05E+08
0.311	6.18E+08	1.11E+08
0.312	8.69E+07	2.48E+08
0.313	1.39E+08	8.07E+07
0.314	5.89E+07	4.51E+08
0.315	1.13E+08	8.96E+07
0.316	4.43E+08	3.04E+08
0.317	5.78E+08	1.30E+08
0.318	2.70E+08	2.49E+08
0.319	5.52E+08	1.05E+08
0.32	1.37E+09	2.95E+08
0.321	9.93E+08	1.46E+08
0.322	9.42E+07	1.54E+08
0.323	1.79E+08	4.98E+08
0.324	3.66E+08	2.18E+08
0.325	2.54E+08	2.89E+08
0.326	3.36E+08	2.22E+08
0.327	2.67E+08	4.74E+08
0.328	1.26E+08	9.68E+07
0.329	2.04E+08	4.70E+08
0.33	3.41E+08	4.28E+08
0.331	2.71E+08	3.07E+08
0.332	1.06E+08	2.90E+08
0.333	4.50E+07	6.70E+07
0.334	6.71E+07	4.91E+07
0.335	1.89E+08	6.72E+07
0.336	2.11E+08	4.75E+08
0.337	9.23E+07	2.08E+08
0.338	4.25E+07	1.37E+08
0.339	6.53E+07	1.32E+08
0.34	2.95E+07	1.36E+08
0.341	1.06E+08	1.56E+08
0.342	3.40E+08	1.26E+08
0.343	2.68E+08	3.36E+07
0.344	5.18E+07	4.69E+08
0.345	1.94E+08	1.53E+08
0.346	1.01E+08	3.32E+08
0.347	1.52E+08	6.36E+07
0.348	1.25E+09	4.29E+07
0.349	2.24E+09	2.13E+08
0.35	1.55E+09	7.41E+07
0.351	4.27E+08	3.68E+08
0.352	4.73E+08	3.27E+08
0.353	4.69E+08	2.19E+08
0.354	3.69E+08	5.76E+07
0.355	8.97E+08	7.24E+07
0.356	9.33E+08	6.86E+07
0.357	3.79E+08	4.13E+07
0.358	1.05E+08	2.04E+08
0.359	1.44E+07	3.51E+07
0.36	4.54E+07	1.08E+08
0.361	1.95E+08	6.97E+07
0.362	2.44E+08	1.01E+08
0.363	1.74E+08	8.93E+07
0.364	8.52E+08	1.99E+07
0.365	1.44E+09	1.39E+08
0.366	6.39E+08	1.55E+08
0.367	3.19E+08	8.48E+07
0.368	1.00E+09	6.83E+07
0.369	9.77E+08	1.43E+08
0.37	4.54E+08	2.70E+07
0.371	6.44E+08	3.55E+08
0.372	5.32E+08	1.35E+08
0.373	1.40E+08	2.32E+08
0.374	6.79E+08	4.15E+07
0.375	7.65E+08	1.47E+08
0.376	1.53E+08	4.89E+07
0.377	1.68E+08	4.30E+07
0.378	2.77E+08	5.47E+07
0.379	2.33E+08	7.93E+07
0.38	1.66E+08	1.59E+08
0.381	2.19E+08	1.75E+08
0.382	8.72E+08	1.12E+08
0.383	1.86E+09	7.61E+08
0.384	1.59E+09	2.61E+08
0.385	6.13E+08	3.83E+08
0.386	6.02E+08	1.89E+08
0.387	6.24E+08	3.58E+08
0.388	3.53E+08	1.19E+08
0.389	2.76E+08	2.83E+08
0.39	4.09E+08	4.54E+08
0.391	4.20E+08	2.51E+08
0.392	3.29E+08	3.19E+08
0.393	3.83E+08	1.63E+08
0.394	4.64E+08	2.28E+08
0.395	3.43E+08	1.22E+08
0.396	3.19E+08	6.59E+07
0.397	3.11E+08	2.65E+08
0.398	1.03E+08	1.35E+08
0.399	5.72E+07	1.49E+08
0.4	7.21E+07	5.31E+07
0.401	1.50E+08	1.20E+08
0.402	2.80E+08	7.91E+07
0.403	1.24E+08	6.26E+07
0.404	1.82E+07	8.57E+07
0.405	5.42E+07	4.87E+07
0.406	2.11E+07	4.28E+07
0.407	4.58E+06	1.99E+08
0.408	4.36E+06	1.51E+08
0.409	3.22E+07	7.99E+07
0.41	1.03E+08	2.50E+08
0.411	2.31E+08	1.77E+08
0.412	4.43E+08	2.42E+08
0.413	4.28E+08	7.89E+07
0.414	2.24E+08	1.77E+07
0.415	5.80E+07	3.46E+07
0.416	3.65E+07	1.79E+08
0.417	2.02E+08	8.48E+07
0.418	2.76E+08	8.31E+07
0.419	1.10E+08	2.77E+08
0.42	1.14E+07	1.47E+08
0.421	2.02E+08	1.01E+08
0.422	1.02E+08	1.52E+08
0.423	1.48E+08	7.98E+07
0.424	1.03E+09	1.20E+08
0.425	1.12E+09	5.47E+07
0.426	2.44E+08	6.00E+07
0.427	3.70E+07	1.21E+08
0.428	1.03E+08	1.53E+08
0.429	3.69E+08	8.62E+07
0.43	4.41E+08	4.18E+07
0.431	2.03E+08	3.30E+07
0.432	1.99E+08	1.52E+08
0.433	2.47E+08	6.19E+07
0.434	1.25E+08	9.50E+07
0.435	3.55E+07	5.35E+07
0.436	4.08E+07	9.98E+07
0.437	9.88E+07	8.88E+07
0.438	2.88E+07	6.31E+07
0.439	9.71E+07	2.05E+08
0.44	1.63E+08	4.62E+07
0.441	8.84E+07	3.31E+08
0.442	5.15E+08	1.35E+08
0.443	9.90E+08	2.29E+08
0.444	6.82E+08	1.30E+08
0.445	2.80E+08	3.18E+08
0.446	5.71E+08	2.73E+08
0.447	7.18E+08	2.79E+08
0.448	3.63E+08	6.00E+07
0.449	1.11E+08	8.57E+07
0.45	1.08E+08	3.88E+07
0.451	1.80E+08	8.35E+07
0.452	4.78E+08	3.25E+07
0.453	4.99E+08	3.22E+07
0.454	1.27E+08	2.80E+07
0.455	3.81E+06	4.40E+07
0.456	1.38E+08	2.07E+08
0.457	5.91E+08	1.04E+08
0.458	7.11E+08	1.04E+08
0.459	2.45E+08	7.51E+07
0.46	1.60E+08	1.72E+08
0.461	9.56E+08	1.28E+08
0.462	9.82E+08	1.60E+08
0.463	1.94E+08	1.55E+08
0.464	9.24E+07	9.32E+07
0.465	1.24E+08	1.52E+08
0.466	2.16E+07	1.28E+08
0.467	1.41E+08	4.45E+07
0.468	1.32E+08	2.26E+08
0.469	4.47E+07	2.30E+08
0.47	3.00E+07	3.37E+07
0.471	7.29E+07	2.00E+08
0.472	3.99E+08	9.08E+07
0.473	9.60E+08	1.81E+08
